species_label,species,diameter_class,wood_bark,new_label,lab_unique,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
25,Dalbergia stipulacea,2.0 cm,bark,LB32SR2,C2024-0111,462,22.83,1.43,63.98,51.72,19.22,25.73,4.55,0.99,385,0.69,2.93,3.31
25,Dalbergia stipulacea,4.0 cm,bark,LB32BR1,C2024-0112,460,24.73,1.06,65.04,53.16,18.76,24.54,5.14,1.03,346,0.65,5.21,1.18
25,Dalbergia stipulacea,4.0 cm,bark,LB32BR2,C2024-0113,461,24.79,0.92,66.62,54.43,19.91,24.56,5.67,1.15,367,0.67,5.15,1.18
26,Dalbergia rimosa,2.0 cm,bark,LB33SR1,C2024-0114,425,21.16,0.09,64.24,50.77,18.08,55.38,6.58,4.4,300,0.7,1.99,1.06
26,Dalbergia rimosa,2.0 cm,bark,LB33SR2,C2024-0115,424,21.35,0.05,66.51,52.87,18.46,55.72,6.6,4.4,305,0.71,1.92,1.31
26,Dalbergia rimosa,4.0 cm,bark,LB33BR1,C2024-0116,423,21.35,0.19,66.29,53.88,18.2,61.08,6.99,4.57,320,0.74,1.95,1.06
26,Dalbergia rimosa,4.0 cm,bark,LB33BR2,C2024-0117,424,20.8,0.08,67.49,54.86,18.34,55.07,6.41,4.33,306,0.71,1.96,1.04
27,Elaeagnus conferta,2.0 cm,bark,LB34SR1,C2024-0118,459,21.4,2.3,81.04,68.46,33.76,40.87,11.59,1.14,54.4,0.6,0.62,1.05
27,Elaeagnus conferta,2.0 cm,bark,LB34SR2,C2024-0119,465,21.52,1.39,85.4,72.49,35.24,36.47,11.25,1.32,50.9,0.53,0.47,2.89
27,Elaeagnus conferta,4.0 cm,bark,LB34BR1,C2024-0120,453,21.77,2.19,79.36,67.25,35.19,43.49,12.4,1.16,54.3,0.61,0.54,0.92
27,Elaeagnus conferta,4.0 cm,bark,LB34BR2,C2024-0121,463,21.83,1.18,85.26,72.18,37.54,35.79,12.3,1.3,52,0.51,0.38,1.85
28,Dalbergia mimosoides,2.0 cm,bark,LB35SR1,C2024-0122,490,10.68,13.19,55.53,46.16,18.94,27.87,6.34,1.13,77.2,0.29,1.21,0.4
28,Dalbergia mimosoides,2.0 cm,bark,LB35SR2,C2024-0123,484,10.33,13.41,60.25,50.36,14.28,28.53,6.69,1.09,75.3,0.28,1.21,0.59
28,Dalbergia mimosoides,4.0 cm,bark,LB35BR1,C2024-0124,489,10.5,13.92,60.52,50.9,16.25,27.99,6.86,1.13,76.9,0.29,1.4,0.65
28,Dalbergia mimosoides,4.0 cm,bark,LB35BR2,C2024-0125,487,10.61,12.99,82.57,71.9,22.3,27.61,6.66,1.1,75.6,0.28,1.46,0.4
29,Celastrus sp2,2.0 cm,bark,LB36SR1,C2024-0126,464,7.71,4.98,47.59,38.41,14.55,32.41,4.14,1.05,25.2,0.47,5.43,0.39
29,Celastrus sp2,2.0 cm,bark,LB36SR2,C2024-0127,458,8.3,4.39,49.93,40.62,17.31,42.08,3.79,1.19,37.3,0.5,4.54,1.31
29,Celastrus sp2,4.0 cm,bark,LB36BR1,C2024-0128,458,7.85,5.38,53.32,43.64,16.67,40.27,3.72,1.16,32.5,0.47,4.41,0.26
29,Celastrus sp2,4.0 cm,bark,LB36BR2,C2024-0129,462,7.33,4.03,53.45,44.13,16.78,33,3.68,1.12,22.7,0.43,4.28,0.39
30,Phyllanthus reticulatus,2.0 cm,bark,LB37SR1,C2024-0130,477,10.91,3.97,71.37,61.78,34.45,26.64,7.02,2.97,57.4,0.71,1.04,1.44
30,Phyllanthus reticulatus,2.0 cm,bark,LB37SR2,C2024-0131,475,11.48,4.01,66.04,56.91,33.71,27.3,6.75,2.84,53.3,0.78,0.97,1.83
30,Phyllanthus reticulatus,4.0 cm,bark,LB37BR1,C2024-0132,479,10.52,3.27,73.22,62.97,32.62,25.77,7.18,2.98,56.8,0.71,0.79,2.11
30,Phyllanthus reticulatus,4.0 cm,bark,LB37BR2,C2024-0133,474,11.47,3.95,69.7,60.43,36.39,26.69,6.65,2.87,52.9,0.76,0.9,2.1
